City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kharkhorin,47.1975,102.8238,14.58,75,80,4.39,MN,1721593471
1,west island,-12.1568,96.8225,26.99,89,75,5.66,CC,1721593473
2,blackmans bay,-43.0167,147.3167,10.29,87,100,1.38,AU,1721593475
3,adamstown,-25.066,-130.1015,18.83,66,95,8.71,PN,1721593478
4,waitangi,-43.9535,-176.5597,9.9,99,100,4.02,NZ,1721593480
5,bredasdorp,-34.5322,20.0403,6.94,86,0,1.06,ZA,1721593482
6,rio grande,-32.035,-52.0986,17.75,80,100,1.82,BR,1721593484
7,samalut,28.3121,30.7101,35.01,18,0,3.19,EG,1721593485
8,punta arenas,-53.15,-70.9167,7.06,87,100,13.38,CL,1721593330
9,freetown,8.484,-13.2299,24.05,94,100,3.15,SL,1721593489
10,tolanaro,-25.0319,46.9987,19.04,94,20,0.0,MG,1721593491
11,port-aux-francais,-49.35,70.2167,3.99,97,100,10.47,TF,1721593494
12,praia da vitoria,38.7333,-27.0667,25.42,78,75,1.77,PT,1721593495
13,calvi,42.5,8.8333,24.35,54,75,4.63,FR,1721593497
14,cozumel,20.5083,-86.9458,32.04,70,75,4.12,MX,1721593501
15,albany,42.6001,-73.9662,29.36,55,94,0.45,US,1721593503
16,edinburgh of the seven seas,-37.0676,-12.3116,10.24,61,97,13.54,SH,1721593505
17,ilulissat,69.2167,-51.1,10.01,71,20,1.54,GL,1721593508
18,bethel,41.3712,-73.414,30.36,50,0,2.06,US,1721593509
19,constitucion,-35.3333,-72.4167,13.48,67,0,1.77,CL,1721593513
20,castillos,-34.1667,-53.8333,15.97,86,93,3.45,UY,1721593515
21,atafu village,-8.5421,-172.5159,28.47,75,44,9.09,TK,1721593517
22,port moresby,-9.4431,147.1797,23.15,86,100,5.25,PG,1721593519
23,conduaga,8.862,117.4893,26.4,87,100,2.22,PH,1721593521
24,saint-philippe,-21.3585,55.7679,20.77,82,35,3.06,RE,1721593522
25,huilong,31.8111,121.655,26.5,88,73,6.16,CN,1721593524
26,invercargill,-46.4,168.35,7.79,83,100,2.24,NZ,1721593526
27,chiang kham,19.5233,100.3,19.98,79,100,0.86,TH,1721593528
28,okhotsk,59.3833,143.3,11.85,95,100,3.0,RU,1721593530
